	objid	ra	dec	u	g	r	i	z	run	rerun	camcol	field	specobjid	class	redshift	plate	mjd	fiberid	t	p	cost	sint	sinp	cosp	x	y
3517	1.23765e+18	224.6222371	0.95439008	25.59275	22.08649	158352.68999999997	19.3855	129209.66576138235	752	301	6	541	4.52057e+18	GALAXY	0.5278423	4015	55624	284	0.6164062467948965	3.9203976105903595	0.8159612934985971	0.5781065364723843	-0.7024293449694475	-0.7117534793211712	-65157.27664398453	-64303.70132742918
3518	1.23765e+18	224.6237441	0.957066167	22.91305	22.75457	157973.90999999997	19.79395	129144.52974639676	752	301	6	541	4.52525e+18	GALAXY	0.5265797	4019	55363	942	0.6137301597948965	3.920423912702187	0.8175054333110877	0.5759208856317426	-0.7024480653460814	-0.711735003699795	-64753.98810854166	-63909.05805368267
3519	1.23765e+18	224.6246574	0.930223589	22.55597	21.98886	152084.63999999998	19.24727	121934.40609589152	752	301	6	541	4.52057e+18	GALAXY	0.5069488	4015	55624	282	0.6405727377948965	3.9204398527942454	0.8017535899476208	0.5976547339443589	-0.7024594103783197	-0.7117238065225466	-64691.4984410757	-63849.41944465987
3520	1.23765e+18	224.6284885	0.915164238	23.89887	20.90117	152002.77	18.5661	120486.93017513181	752	301	6	541	4.52525e+18	GALAXY	0.5066759	4019	55363	952	0.6556320887948965	3.9205067181032187	0.7926627269695928	0.6096603983146098	-0.7025069984401737	-0.7116768347660177	-65951.1415991948	-65101.372231380534
3521	1.23765e+18	224.599421	1.004415561	24.60058	23.02002	158171.61	20.18597	133472.8776922502	752	301	6	541	4.52057e+18	GALAXY	0.5272387	4015	55624	298	0.5663807657948965	3.919999394522895	0.8438485117035238	0.5365814843020096	-0.702145857611169	-0.7120331415316817	-60431.64636164656	-59592.49322324586
3522	1.23765e+18	224.7145219	1.052777255	24.38268	22.66133	152670.93000000002	19.75268	132640.7727183687	752	301	6	542	4.52056e+18	GALAXY	0.5089031	4015	55624	243	0.5180190717948965	3.9220082841999035	0.8688017602196351	0.4951600765805577	-0.7035748358741043	-0.710621172161882	-53720.50853921741	-53187.829830016875
3523	1.23765e+18	224.6956893	1.026752041	22.65344	21.74647	133026.69	19.08779	113820.61040170632	752	301	6	542	4.52525e+18	GALAXY	0.4434223	4019	55363	941	0.5440442857948966	3.921679593323193	0.8556223597062087	0.5176005965711199	-0.7033412231759225	-0.7108523924004175	-48945.52403174304	-48428.34477242795
3524	1.23765e+18	224.7067235	0.93684554	22.62666	20.90306	122235.15000000001	18.35137	98484.08085037672	752	301	6	542	4.52525e+18	GALAXY	0.4074505	4019	55363	954	0.6339507867948966	3.9218721764435167	0.8056936229094226	0.5923324961565836	-0.703478108304044	-0.7107169275717047	-51458.6428949284	-50934.524499510146
3525	1.23765e+18	224.7534249	0.884247014	23.38145	21.06335	51437.04	19.26155	39783.356695996394	752	301	6	542	4.52056e+18	GALAXY	0.1714568	4015	55624	245	0.6865493127948965	3.922687269638807	0.7734379096463636	0.633872069050107	-0.7040571750840443	-0.7101432913241351	-23153.869051538735	-22955.4342565092
3526	1.23765e+18	224.7363379	1.018436144	23.36797	23.24482	169024.53	20.20038	143888.64052077252	752	301	6	542	4.52056e+18	GALAXY	0.5634151	4015	55624	250	0.5523601827948965	3.9223890452295187	0.8512885113230163	0.5246978849675712	-0.7038453617149709	-0.7103532267768773	-62998.964070281145	-62421.80225591234
3527	1.23765e+18	224.7458498	0.93479618	25.07311	23.24147	169435.98	19.76031	136307.52328775634	752	301	6	542	4.52055e+18	GALAXY	0.5647866	4015	55624	241	0.6360001467948966	3.9225550592026392	0.8044780293285778	0.5939824074226508	-0.7039632805767115	-0.7102363688235588	-71479.6024552207	-70848.26636242965
3528	1.23765e+18	230.2630178	0.596208029	20.82253	18.69373	46354.62	17.06726	26028.52578395171	752	301	5	579	3.51454e+17	GALAXY	0.1545154	312	51689	629	0.9745882977948965	4.01884780618831	0.5615087726736129	0.8274707839015061	-0.768987094988834	-0.6392643019445353	-24520.320759983806	-29496.110094147472
